label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color
Czech Republic,185,101,357.0,178.0,123,59,0.6648648648648648,0.3189189189189189,5,tab:brown
Jordan,184,102,307.0,238.0,103,81,0.5597826086956522,0.4402173913043478,0,tab:blue
Vietnam,181,103,323.0,288.0,87,94,0.4806629834254143,0.5193370165745856,0,tab:blue
Canada,180,104,318.0,233.0,104,76,0.5777777777777777,0.4222222222222222,4,tab:purple
South Africa,179,105,283.0,173.0,119,60,0.664804469273743,0.3351955307262569,6,tab:pink
Burkina Faso,178,106,244.0,266.0,87,91,0.4887640449438202,0.5112359550561798,6,tab:pink
Jersey,176,107,542.0,188.0,135,41,0.7670454545454546,0.2329545454545454,3,tab:red
Croatia,174,108,345.0,162.0,125,46,0.7183908045977011,0.264367816091954,5,tab:brown
Faroe Islands,174,109,121.0,451.0,29,145,0.1666666666666666,0.8333333333333334,5,tab:brown
Yugoslavia,172,110,396.0,224.0,115,57,0.6686046511627907,0.3313953488372093,5,tab:brown
Curaçao,172,111,297.0,330.0,74,98,0.4302325581395348,0.5697674418604651,4,tab:purple
Guernsey,172,112,481.0,237.0,112,60,0.6511627906976745,0.3488372093023256,3,tab:red
San Marino,171,113,22.0,754.0,0,171,0.0,1.0,5,tab:brown
Mozambique,171,114,182.0,247.0,72,99,0.4210526315789473,0.5789473684210527,6,tab:pink
Angola,171,115,241.0,194.0,92,79,0.5380116959064327,0.4619883040935672,6,tab:pink
Madagascar,168,116,229.0,273.0,77,91,0.4583333333333333,0.5416666666666666,6,tab:pink
Nepal,167,117,148.0,465.0,44,123,0.2634730538922156,0.7365269461077845,0,tab:blue
Slovakia,165,118,267.0,203.0,89,73,0.5393939393939394,0.4424242424242424,5,tab:brown
Uzbekistan,165,119,376.0,177.0,114,51,0.6909090909090909,0.3090909090909091,0,tab:blue
Mauritius,163,120,163.0,321.0,46,117,0.2822085889570552,0.7177914110429447,6,tab:pink
Gabon,162,121,217.0,192.0,86,76,0.5308641975308642,0.4691358024691358,6,tab:pink
Taiwan,162,122,193.0,457.0,46,116,0.2839506172839506,0.7160493827160493,0,tab:blue
Czechoslovakia,159,123,331.0,193.0,100,59,0.6289308176100629,0.3710691823899371,5,tab:brown
Yemen,158,124,141.0,441.0,34,124,0.2151898734177215,0.7848101265822784,0,tab:blue
Suriname,157,125,287.0,237.0,82,75,0.5222929936305732,0.4777070063694267,4,tab:purple
Lebanon,154,126,218.0,254.0,61,93,0.3961038961038961,0.6038961038961039,0,tab:blue
Laos,154,127,161.0,555.0,35,119,0.2272727272727272,0.7727272727272727,0,tab:blue
Slovenia,152,128,210.0,182.0,76,73,0.5,0.4802631578947368,5,tab:brown
Liberia,150,129,136.0,259.0,50,100,0.3333333333333333,0.6666666666666666,6,tab:pink
Tahiti,149,130,505.0,220.0,96,53,0.6442953020134228,0.3557046979865771,1,tab:orange
Maldives,149,131,203.0,404.0,51,98,0.3422818791946309,0.6577181208053692,0,tab:blue
Liechtenstein,147,132,47.0,469.0,10,137,0.0680272108843537,0.9319727891156464,5,tab:brown
Namibia,147,133,172.0,257.0,57,90,0.3877551020408163,0.6122448979591837,6,tab:pink
Rwanda,146,134,174.0,204.0,62,84,0.4246575342465753,0.5753424657534246,6,tab:pink
New Caledonia,146,135,505.0,190.0,91,55,0.6232876712328768,0.3767123287671233,1,tab:orange
Libya,146,136,234.0,211.0,64,82,0.4383561643835616,0.5616438356164384,6,tab:pink
Vietnam Republic,145,137,296.0,253.0,74,71,0.5103448275862069,0.4896551724137931,0,tab:blue
Moldova,144,138,111.0,308.0,31,113,0.2152777777777778,0.7847222222222222,5,tab:brown
Serbia,144,139,285.0,152.0,94,47,0.6527777777777778,0.3263888888888889,5,tab:brown
Saint Vincent and the Grenadines,143,140,219.0,316.0,63,80,0.4405594405594406,0.5594405594405595,4,tab:purple
Pakistan,142,141,124.0,388.0,34,108,0.2394366197183098,0.7605633802816901,0,tab:blue
New Zealand,142,142,318.0,177.0,88,54,0.6197183098591549,0.380281690140845,1,tab:orange
Ukraine,141,143,228.0,145.0,88,50,0.624113475177305,0.3546099290780142,5,tab:brown
Armenia,141,144,142.0,279.0,41,100,0.2907801418439716,0.7092198581560284,5,tab:brown
Bosnia and Herzegovina,141,145,233.0,201.0,73,68,0.5177304964539007,0.4822695035460992,5,tab:brown
Sri Lanka,140,146,134.0,358.0,35,105,0.25,0.75,0,tab:blue
Georgia,140,147,163.0,214.0,51,86,0.3642857142857142,0.6142857142857143,5,tab:brown
Grenada,139,148,270.0,293.0,63,76,0.4532374100719424,0.5467625899280576,4,tab:purple
Andorra,138,149,42.0,400.0,7,131,0.0507246376811594,0.9492753623188406,5,tab:brown
Kazakhstan,137,150,182.0,282.0,41,96,0.2992700729927007,0.7007299270072993,5,tab:brown
Martinique,137,151,276.0,198.0,79,58,0.5766423357664233,0.4233576642335766,4,tab:purple
Fiji,136,152,419.0,229.0,80,56,0.5882352941176471,0.4117647058823529,1,tab:orange
Saint Lucia,136,153,230.0,267.0,61,75,0.4485294117647059,0.5514705882352942,4,tab:purple
North Macedonia,135,154,172.0,231.0,48,87,0.3555555555555555,0.6444444444444445,5,tab:brown
Benin,134,155,159.0,249.0,49,85,0.3656716417910448,0.6343283582089553,6,tab:pink
Antigua and Barbuda,133,156,191.0,273.0,50,83,0.3759398496240601,0.6240601503759399,4,tab:purple
Belarus,133,157,141.0,236.0,43,90,0.3233082706766917,0.6766917293233082,5,tab:brown
Sierra Leone,132,158,137.0,191.0,57,75,0.4318181818181818,0.5681818181818182,6,tab:pink
Solomon Islands,131,159,351.0,299.0,68,63,0.5190839694656488,0.4809160305343511,1,tab:orange
Cape Verde,131,160,149.0,165.0,64,67,0.4885496183206106,0.5114503816793893,6,tab:pink
Vanuatu,131,161,309.0,291.0,52,79,0.3969465648854962,0.6030534351145038,1,tab:orange
Mauritania,131,162,106.0,274.0,30,101,0.2290076335877862,0.7709923664122137,6,tab:pink
Guadeloupe,131,163,264.0,168.0,73,58,0.5572519083969466,0.4427480916030534,4,tab:purple
Botswana,131,164,113.0,213.0,42,89,0.3206106870229007,0.6793893129770993,6,tab:pink
Azerbaijan,130,165,78.0,301.0,22,108,0.1692307692307692,0.8307692307692308,5,tab:brown
Nicaragua,128,166,150.0,366.0,34,94,0.265625,0.734375,4,tab:purple
Burundi,123,167,143.0,179.0,50,73,0.4065040650406504,0.5934959349593496,6,tab:pink
Barbados,123,168,160.0,221.0,49,74,0.3983739837398374,0.6016260162601627,4,tab:purple
Saint Kitts and Nevis,122,169,245.0,215.0,60,62,0.4918032786885246,0.5081967213114754,4,tab:purple
Dominica,121,170,156.0,298.0,34,87,0.2809917355371901,0.71900826446281,4,tab:purple
Niger,117,171,110.0,224.0,34,83,0.2905982905982906,0.7094017094017094,6,tab:pink
Palestine,117,172,208.0,199.0,47,70,0.4017094017094017,0.5982905982905983,0,tab:blue
Guyana,113,173,191.0,227.0,49,64,0.4336283185840708,0.5663716814159292,4,tab:purple
Lesotho,112,174,93.0,223.0,32,80,0.2857142857142857,0.7142857142857143,6,tab:pink
Seychelles,112,175,86.0,290.0,17,95,0.1517857142857142,0.8482142857142857,6,tab:pink
Gambia,110,176,116.0,168.0,41,69,0.3727272727272727,0.6272727272727273,6,tab:pink
Guinea-Bissau,105,177,110.0,178.0,37,68,0.3523809523809524,0.6476190476190476,6,tab:pink
Alderney,104,178,52.0,515.0,3,101,0.0288461538461538,0.971153846153846,3,tab:red
Gibraltar,104,179,133.0,309.0,28,76,0.2692307692307692,0.7307692307692307,5,tab:brown
Brunei,102,180,75.0,364.0,15,87,0.1470588235294117,0.8529411764705882,0,tab:blue
Papua New Guinea,101,181,278.0,217.0,46,55,0.4554455445544554,0.5445544554455446,1,tab:orange
Eswatini,101,182,88.0,193.0,31,70,0.3069306930693069,0.693069306930693,6,tab:pink
Kyrgyzstan,100,183,138.0,163.0,43,57,0.43,0.57,0,tab:blue
Equatorial Guinea,100,184,89.0,156.0,38,62,0.38,0.62,6,tab:pink
