label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color,in_degree,out_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank_centrality
Wales,325,26,448.0,497.0,148,177,0.4553846153846154,0.5446153846153846,5,tab:brown,42,39,81,0.44021739130434784,0.0020703220465981115,0.48293963254593175,0.13015695787823484,0.00845346399789559
Spain,322,27,797.0,248.0,252,67,0.782608695652174,0.2080745341614907,5,tab:brown,71,35,106,0.5760869565217391,0.009575863436295028,0.609271523178808,0.2009331450358466,0.016489855797911842
Hungary,316,28,664.0,445.0,187,126,0.5917721518987342,0.3987341772151899,5,tab:brown,54,38,92,0.5,0.009293698589730705,0.5714285714285714,0.15423040759496343,0.011336176189483198
Egypt,314,29,629.0,303.0,221,93,0.7038216560509554,0.2961783439490446,6,tab:pink,59,37,96,0.5217391304347826,0.024546892430970767,0.580441640378549,0.06043164651145739,0.011025980073893046
France,313,30,714.0,288.0,234,76,0.7476038338658147,0.242811501597444,5,tab:brown,73,34,107,0.5815217391304348,0.01878509794029537,0.6153846153846154,0.2007138457858667,0.017359346448011383
Netherlands,311,31,764.0,257.0,234,74,0.752411575562701,0.2379421221864952,5,tab:brown,63,32,95,0.5163043478260869,0.004295784684245267,0.5974025974025974,0.18950460201269848,0.014569610139897092
India,308,32,451.0,494.0,151,157,0.4902597402597403,0.5097402597402597,0,tab:blue,30,45,75,0.4076086956521739,0.013203938310455528,0.45885286783042395,0.01642521306081395,0.003472287936321373
China PR,307,33,704.0,281.0,203,104,0.6612377850162866,0.3387622149837133,0,tab:blue,43,29,72,0.3913043478260869,0.010341826176113025,0.5492537313432836,0.03554107774907829,0.006995601299146331
United States,306,34,580.0,361.0,196,110,0.6405228758169934,0.3594771241830065,4,tab:purple,45,39,84,0.45652173913043476,0.035558193363523664,0.5626911314984709,0.06208023617415872,0.01110005328746506
Peru,306,35,415.0,496.0,127,179,0.4150326797385621,0.5849673202614379,2,tab:green,22,19,41,0.22282608695652173,0.001619881906976109,0.5154061624649859,0.03901570062854743,0.008067236605178787
Qatar,303,36,521.0,372.0,171,132,0.5643564356435643,0.4356435643564356,0,tab:blue,36,31,67,0.3641304347826087,0.01249878638234607,0.5068870523415978,0.024315151369031233,0.006432597298527936
Iraq,301,37,633.0,272.0,208,93,0.6910299003322259,0.3089700996677741,0,tab:blue,41,23,64,0.34782608695652173,0.00425727963722346,0.5168539325842697,0.026091222659400108,0.007712085655509641
