label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss
Czechoslovakia,159,123,331.0,193.0,100,59,0.6289308176100629,0.3710691823899371
Yemen,158,124,141.0,441.0,34,124,0.21518987341772153,0.7848101265822784
Suriname,157,125,287.0,237.0,82,75,0.5222929936305732,0.47770700636942676
Lebanon,154,126,218.0,254.0,61,93,0.3961038961038961,0.6038961038961039
Laos,154,127,161.0,555.0,35,119,0.22727272727272727,0.7727272727272727
Slovenia,152,128,210.0,182.0,76,73,0.5,0.48026315789473684
Liberia,150,129,136.0,259.0,50,100,0.3333333333333333,0.6666666666666666
Tahiti,149,130,505.0,220.0,96,53,0.6442953020134228,0.35570469798657717
Maldives,149,131,203.0,404.0,51,98,0.3422818791946309,0.6577181208053692
Liechtenstein,147,132,47.0,469.0,10,137,0.06802721088435375,0.9319727891156463
Namibia,147,133,172.0,257.0,57,90,0.3877551020408163,0.6122448979591837
Rwanda,146,134,174.0,204.0,62,84,0.4246575342465753,0.5753424657534246
New Caledonia,146,135,505.0,190.0,91,55,0.6232876712328768,0.3767123287671233
Libya,146,136,234.0,211.0,64,82,0.4383561643835616,0.5616438356164384
Vietnam Republic,145,137,296.0,253.0,74,71,0.5103448275862069,0.4896551724137931
Moldova,144,138,111.0,308.0,31,113,0.2152777777777778,0.7847222222222222
Serbia,144,139,285.0,152.0,94,47,0.6527777777777778,0.3263888888888889
Saint Vincent and the Grenadines,143,140,219.0,316.0,63,80,0.4405594405594406,0.5594405594405595
Pakistan,142,141,124.0,388.0,34,108,0.23943661971830985,0.7605633802816901
New Zealand,142,142,318.0,177.0,88,54,0.6197183098591549,0.38028169014084506
Ukraine,141,143,228.0,145.0,88,50,0.624113475177305,0.3546099290780142
Armenia,141,144,142.0,279.0,41,100,0.2907801418439716,0.7092198581560284
Bosnia and Herzegovina,141,145,233.0,201.0,73,68,0.5177304964539007,0.48226950354609927
Sri Lanka,140,146,134.0,358.0,35,105,0.25,0.75
Georgia,140,147,163.0,214.0,51,86,0.36428571428571427,0.6142857142857143
Grenada,139,148,270.0,293.0,63,76,0.45323741007194246,0.5467625899280576
Andorra,138,149,42.0,400.0,7,131,0.050724637681159424,0.9492753623188406
Kazakhstan,137,150,182.0,282.0,41,96,0.29927007299270075,0.7007299270072993
Martinique,137,151,276.0,198.0,79,58,0.5766423357664233,0.4233576642335766
Fiji,136,152,419.0,229.0,80,56,0.5882352941176471,0.4117647058823529
Saint Lucia,136,153,230.0,267.0,61,75,0.4485294117647059,0.5514705882352942
North Macedonia,135,154,172.0,231.0,48,87,0.35555555555555557,0.6444444444444445
Benin,134,155,159.0,249.0,49,85,0.3656716417910448,0.6343283582089553
Antigua and Barbuda,133,156,191.0,273.0,50,83,0.37593984962406013,0.6240601503759399
Belarus,133,157,141.0,236.0,43,90,0.3233082706766917,0.6766917293233082
Sierra Leone,132,158,137.0,191.0,57,75,0.4318181818181818,0.5681818181818182
Solomon Islands,131,159,351.0,299.0,68,63,0.5190839694656488,0.48091603053435117
Cape Verde,131,160,149.0,165.0,64,67,0.48854961832061067,0.5114503816793893
